,movieID,dialog_id,dialog,speakers,movie_title,movie_genres,emotion
0,m0,0,Can we make this quick?  Roxanne Korrine and Andrew Barrett are having an incredibly horrendous public break- up on the quad.  Again.,BIANCA,10 things i hate about you,comedy,joy
1,m0,0,Well I thought we'd start with pronunciation if that's okay with you.,CAMERON,10 things i hate about you,comedy,optimism
2,m0,0,Not the hacking and gagging and spitting part.  Please.,BIANCA,10 things i hate about you,comedy,joy
3,m0,0,Okay... then how 'bout we try out some French cuisine.  Saturday?  Night?,CAMERON,10 things i hate about you,comedy,optimism
4,m0,1,You're asking me out.  That's so cute. What's your name again?,BIANCA,10 things i hate about you,comedy,optimism
5,m0,1,Forget it.,CAMERON,10 things i hate about you,comedy,sadness
6,m0,2,No no it's my fault -- we didn't have a proper introduction ---,BIANCA,10 things i hate about you,comedy,sadness
7,m0,2,Cameron.,CAMERON,10 things i hate about you,comedy,optimism
8,m0,2,The thing is Cameron -- I'm at the mercy of a particularly hideous breed of loser.  My sister.  I can't date until she does.,BIANCA,10 things i hate about you,comedy,joy
9,m0,2,Seems like she could get a date easy enough...,CAMERON,10 things i hate about you,comedy,optimism
10,m0,3,Why?,CAMERON,10 things i hate about you,comedy,joy
11,m0,3,Unsolved mystery.  She used to be really popular when she started high school then it was just like she got sick of it or something.,BIANCA,10 things i hate about you,comedy,sadness
12,m0,3,That's a shame.,CAMERON,10 things i hate about you,comedy,sadness
13,m0,4,Gosh if only we could find Kat a boyfriend...,BIANCA,10 things i hate about you,comedy,sadness
14,m0,4,Let me see what I can do.,CAMERON,10 things i hate about you,comedy,anger
15,m0,5,C'esc ma tete. This is my head,BIANCA,10 things i hate about you,comedy,sadness
16,m0,5,Right.  See?  You're ready for the quiz.,CAMERON,10 things i hate about you,comedy,optimism
17,m0,5,I don't want to know how to say that though.  I want to know useful things. Like where the good stores are.  How much does champagne cost?  Stuff like Chat.  I have never in my life had to point out my head to someone.,BIANCA,10 things i hate about you,comedy,joy
18,m0,5,That's because it's such a nice one.,CAMERON,10 things i hate about you,comedy,optimism
19,m0,5,Forget French.,BIANCA,10 things i hate about you,comedy,sadness
